timestamp,story_id,token_count,reason
2026-01-02T23:26:02.197640,1948_05_17,609,Exceeds token limit
2026-01-02T23:26:03.542565,1948_06_07,1354,Exceeds token limit
2026-01-02T23:26:03.577751,1948_06_08,2160,Exceeds token limit
2026-01-02T23:26:03.593002,1948_06_09,1685,Exceeds token limit
2026-01-02T23:26:03.602649,1948_06_10,1315,Exceeds token limit
2026-01-02T23:26:03.615567,1948_06_11,1312,Exceeds token limit
2026-01-02T23:26:03.634621,1948_06_12,3265,Exceeds token limit
2026-01-02T23:26:03.647485,1948_06_13,1499,Exceeds token limit
2026-01-02T23:26:03.654202,1948_06_14,1301,Exceeds token limit
2026-01-02T23:26:03.666219,1948_06_15,996,Exceeds token limit
2026-01-02T23:26:03.684951,1948_06_16,622,Exceeds token limit
2026-01-02T23:26:05.149501,1948_07_05,650,Exceeds token limit
2026-01-02T23:26:05.173678,1948_07_06,2432,Exceeds token limit
2026-01-02T23:26:05.193545,1948_07_07,1103,Exceeds token limit
2026-01-02T23:26:05.199041,1948_07_08,804,Exceeds token limit
2026-01-02T23:26:05.217728,1948_07_09,1641,Exceeds token limit
2026-01-02T23:26:05.247243,1948_07_10,3384,Exceeds token limit
2026-01-02T23:26:05.256234,1948_07_11,1926,Exceeds token limit
2026-01-02T23:26:05.266273,1948_07_12,2317,Exceeds token limit
2026-01-02T23:26:05.271472,1948_07_13,549,Exceeds token limit
2026-01-02T23:26:05.277618,1948_07_14,1342,Exceeds token limit
2026-01-02T23:26:05.284159,1948_07_17,701,Exceeds token limit
2026-01-02T23:26:06.831532,1948_08_02,1197,Exceeds token limit
2026-01-02T23:26:06.869389,1948_08_04,1663,Exceeds token limit
2026-01-02T23:26:06.887868,1948_08_05,1141,Exceeds token limit
2026-01-02T23:26:06.942620,1948_08_06,2217,Exceeds token limit
2026-01-02T23:26:06.951945,1948_08_07,860,Exceeds token limit
2026-01-02T23:26:07.007228,1948_08_08,2632,Exceeds token limit
2026-01-02T23:26:07.042587,1948_08_09,1836,Exceeds token limit
2026-01-02T23:26:07.060163,1948_08_10,1420,Exceeds token limit
2026-01-02T23:26:08.783761,1948_09_02,1500,Exceeds token limit
2026-01-02T23:26:08.890018,1948_09_03,3748,Exceeds token limit
2026-01-02T23:26:08.998888,1948_09_04,1808,Exceeds token limit
2026-01-02T23:26:09.012451,1948_09_05,2298,Exceeds token limit
2026-01-02T23:26:09.021311,1948_09_07,831,Exceeds token limit
2026-01-02T23:26:09.026180,1948_09_08,942,Exceeds token limit
2026-01-02T23:26:09.069916,1948_09_09,1993,Exceeds token limit
2026-01-02T23:26:09.077487,1948_09_11,732,Exceeds token limit
2026-01-02T23:26:09.751421,1948_10_03,1502,Exceeds token limit
2026-01-02T23:26:10.214755,1948_10_04,2291,Exceeds token limit
2026-01-02T23:26:10.652504,1948_10_05,1932,Exceeds token limit
2026-01-02T23:26:10.863941,1948_10_06,1896,Exceeds token limit
2026-01-02T23:26:11.110308,1948_10_07,1746,Exceeds token limit
2026-01-02T23:26:11.165125,1948_10_08,1185,Exceeds token limit
2026-01-02T23:26:11.251097,1948_10_09,2628,Exceeds token limit
2026-01-02T23:26:11.315799,1948_10_10,803,Exceeds token limit
2026-01-02T23:26:11.378235,1948_10_11,783,Exceeds token limit
2026-01-02T23:26:13.025607,1948_11_04,1528,Exceeds token limit
2026-01-02T23:26:13.097270,1948_11_05,2341,Exceeds token limit
2026-01-02T23:26:13.115348,1948_11_06,969,Exceeds token limit
2026-01-02T23:26:13.137086,1948_11_07,1665,Exceeds token limit
2026-01-02T23:26:13.158316,1948_11_08,2835,Exceeds token limit
2026-01-02T23:26:13.178428,1948_11_09,1197,Exceeds token limit
2026-01-02T23:26:13.195952,1948_11_10,1247,Exceeds token limit
2026-01-02T23:26:13.223489,1948_11_11,1866,Exceeds token limit
2026-01-02T23:26:13.292419,1948_11_12,922,Exceeds token limit
2026-01-02T23:26:15.193093,1948_12_02,1425,Exceeds token limit
2026-01-02T23:26:15.484891,1948_12_04,2348,Exceeds token limit
2026-01-02T23:26:15.563904,1948_12_05,3628,Exceeds token limit
